playername,patch,CurrentSkill,PC1,PC2,PC3,PC4
SeTab,16.08,62.35403269350299,1.5861958914911911,3.1193536966898923,1.6502980362318445,0.6289150633746626
Bdd,14.12,62.31677871042395,5.492849736663548,-3.333310251923579,1.0984913691734564,-0.0280276643828516
SeTab,16.06,61.777870631441544,0.7092880843759368,4.622457601356313,1.041455340150153,1.450586455343543
Faker,16.05,61.592554415105155,2.566066798439758,3.2010520988912314,-0.1109077768549847,-0.554820262472686
SeTab,15.15,60.24876879529606,0.6159174896708254,3.326823476476028,1.2186873122381985,2.842438436962184
Ucal,15.09,60.11545720959727,1.8175915480388132,-0.8237412053251173,2.879273529468452,3.6080473461879383
Loki,15.24,59.994188955750566,2.363287317399099,1.3721045227139996,0.7327120735000157,1.080015730972032
Zeka,16.03,59.38276563022968,3.5725922795484863,1.2746345628208873,-0.1207413794277159,-1.886768682272327
Ucal,15.21,59.037471783155794,7.012988698096427,-5.618345853586807,1.7415336173271296,-4.171364294551622
BuLLDoG,16.11,58.922903809755425,1.3057200746158804,2.8032284949163992,0.543940461492192,1.6590353692452635
Faker,16.07,58.08197422202621,1.5694372184928702,2.5093485258059847,0.3304444486202293,1.0890275391678703
Fisher,16.08,57.798580459419455,2.2053972702987967,2.81609995024536,-1.9953214970420017,1.860757838205749
SeTab,16.02,57.57790369299873,0.020609650444033,4.992380742569501,0.7418043562460253,0.8445571975865599
Zeka,16.02,57.50192237901992,2.531027497087864,1.5492094627532094,0.0486282151947939,-0.3544907842046176
Fisher,16.02,56.92058689934946,2.3063437616721667,2.7387402464569544,-0.7950488371767351,-0.8029921761282427
kyeahoo,15.01,56.785948722151076,1.4087831203001846,-0.1566688333509879,3.274845735029599,0.9880425459561
Fisher,14.02,56.75859794548017,5.068409662929703,-0.7857736704069903,-2.576137700476726,-1.0476994671633189
Karis,16.02,56.56182224692479,1.1033816977997193,2.1607627454938974,2.0326884449866074,-0.3739712122558027
SeTab,16.05,56.25747059421019,-0.0011433464705928,3.905478730521682,1.7892223498178363,0.3804906393886317
Karis,16.08,56.163911550882574,0.5450380748966891,3.355848731231458,0.9066307250205948,0.8602051191646107
BuLLDoG,16.06,55.95442292335696,0.9558036364496992,2.7971381320363933,1.185209050148894,-0.0903622974556116
Loki,16.02,55.931372825838295,2.435229665109475,1.982938911029304,-0.5488996433503385,-0.8993873694459267
BuLLDoG,16.02,55.89342494567748,0.8335550700740496,3.167547438021488,0.5561339481299912,0.6021251548707395
ShowMaker,16.06,55.77357691906555,2.108414868823928,-0.0168681610915773,2.63504901227602,-1.2833858143273036
BuLLDoG,16.08,55.7725572413313,0.8971935153626439,2.326487723872265,2.4459072889004374,-1.1424815376572173
ShowMaker,16.02,55.560821560378315,1.536884764499331,1.4853068138709231,1.6905355624510292,-0.7273012772344876
SeTab,16.04,55.49779420201264,0.1022613885158685,2.7760424134356865,2.491241997199025,0.4797228816966605
Loki,16.09,55.47450951987839,1.1947314718419502,3.5164602124955144,-0.4824083968419311,0.1105825881762193
Chovy,15.08,55.29415597134367,0.984237499657268,2.523660269796703,-0.1470598845119419,1.978445242956033
Bdd,14.14,55.17151290622512,0.7221809667322961,1.023125597411262,1.419324065477286,3.0404423647367067
SeTab,16.01,54.838951949648624,-0.488163161518559,4.680942290211895,0.937856606936634,1.037433204261078
Bdd,14.13,54.832633599240225,2.61242046322279,-1.848128845827068,1.575708062401188,1.3913311670157178
Ucal,15.16,54.32988545701028,2.8573195977145387,-1.0343379568316802,-0.1890764076218544,1.5388339259227413
Loki,16.06,54.22142076769314,1.7527882296838495,2.013740798623556,-0.4212562651087638,0.0377885683596208
ShowMaker,15.02,54.0711427292797,2.988159705268998,-0.2385004377930939,-0.9089927169791724,0.6176021362696344
Quad,14.23,54.05371871089343,3.0280638043574046,0.1893611376978916,-1.4399475880262247,0.5312383056357268
ShowMaker,16.11,53.81728705979562,2.488600859090889,0.7118912806550091,0.2222503984872401,-1.3651058122732491
SeTab,15.24,53.7444985369523,0.1972916654837417,1.3540543797714646,2.1079052838403163,2.200751170393999
Faker,16.06,53.68000331586481,1.5246501730536546,2.388298263564673,0.2799174478854236,-1.3276532684279367
ShowMaker,15.01,53.61698051004704,6.167871932426348,-5.167742098168616,-3.1316244825190176,2.0149777757781955
Roamer,16.11,53.40941314148228,2.850744263177246,-0.1549076221945307,-0.9299610383783912,0.5326190456111874
Karis,15.23,53.369608323473955,0.8211610523421592,0.6607651173790715,2.340447846723344,0.7384813252520452
Karis,15.17,53.34957074265597,-0.6214268696307623,2.0528059707630804,2.6655043840279395,2.565899130591106
Quad,14.22,53.17303350494693,5.851611100697982,-3.73714829837326,-4.767809177928163,2.7766591736481234
Chovy,15.09,52.95831467117106,1.0338258715724753,3.648469086647484,-0.0084338532192425,-1.9705114172075096
ShowMaker,16.03,52.77103180779023,3.357328338914889,-1.3711983585203151,0.8772581721569639,-2.236112745404936
Faker,16.08,52.30708161789332,0.750617204252847,2.4772381247009743,0.6427619270111763,-0.3372023124692308
SeTab,16.03,52.040151928826404,0.050941527701736,4.051588280179829,-0.2047829831702513,0.333239814377005
Ucal,15.17,52.009610120008006,2.884281927207341,-2.240887918878822,0.3877090263410759,1.2172557408718154
