playername,teamname,position,patch,patch_major,patch_minor,match_count,low_sample_flag,pca_group,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
Sylvie,Nongshim RedForce,jng,14.03,14,3,11,0,jng,-4.204900167759443,1.4933221090456767,-0.3228398396352664,1.3412911474662796,0.8892852900435473,-0.09143930431572202,0.5426581048178876,0.03173926973941669,0.15280765618392128,0.9829159026460014,0.02349141881542386,0.7750690392681054,0.8960268756558313,-0.4183160401183109,0.6713228549395891,0.7907866991393083,-0.5869536320415816,0.012719953512883216,0.4649698168419302,-0.11717290554688974,-0.07996224297987083,-0.35717200688521794,-0.1811567036605285
Willer,BNK FEARX,jng,14.03,14,3,9,0,jng,-2.150974936933895,2.926920786333817,1.0517617280903295,-1.45982791180699,-2.0186771024619516,1.8607516501272345,2.2489574546740507,0.26763074632939904,-0.319810707925379,-0.6092950118318402,0.5672551751465094,0.5484944221699254,1.1155705445000628,-0.03187393729841259,0.29645803663071696,-0.4417994903554429,-0.15446822781400638,-0.5860382853180728,0.26009966512988303,0.5214150307222749,-0.042404553463646154,0.094197943194386,-0.1284727216196621
Canyon,Gen.G,jng,14.04,14,4,9,0,jng,-1.9459150194659813,1.594273220145456,3.6066250550896144,0.5898349932346546,-0.3185530450496486,0.04984450313572165,-0.24292314239630736,-0.6747510945897481,0.7270044008291111,-0.9101122055929669,-0.5861453213371003,0.4285695128374266,-1.5889589472402517,-0.27091724654545585,-0.33943425995118504,0.3810289482709496,-0.09044797993751957,-0.12604956366842018,-0.29508522995652403,-0.019666619542906393,-0.05908187766295883,-0.10789154089897088,0.2486149542249123
Cuzz,DN SOOPers,jng,14.04,14,4,10,0,jng,-2.2225602989508317,0.429605143515701,-0.6757689851954782,1.8359537660219507,0.18252675507514396,-1.509990430346743,2.162894487060493,-0.40214019090292924,1.3521147696312312,-1.3653191345996825,-1.355872184893265,-0.24634192784816636,0.12953365705931974,0.27080343488725733,-0.20227541178829805,0.868066198056765,0.05592938232594365,-0.7757560236691868,0.2563003004448001,-0.05507335058052136,-0.3314144179368547,-0.009460217544325316,0.06399857635665572
GIDEON,HANJIN BRION,jng,14.04,14,4,10,0,jng,-2.3338904358913455,0.6546463005474901,1.432510445226342,0.5981466592078025,0.08599861717614073,-0.5174561282286871,0.7334313415638601,-0.9455976694313675,0.9681899376115101,0.23190151474379025,0.1615008347723645,-0.28608641104165533,0.1993307146322613,-0.6289665685456146,0.2836159547635543,0.8351632813731777,0.224262387457534,0.31885760133645513,-0.0891651731205434,0.45187369659404725,0.06936517014820899,-0.04531858496196885,0.05919361497083865
Lucid,Dplus Kia,jng,14.04,14,4,10,0,jng,-3.668763426794044,2.2370533921402522,0.6589737336328529,1.3310176712025543,0.2139239232928149,2.975680681565643,0.3962399982283829,-0.3919743767921956,1.4269661334699166,1.9225667101383104,0.34379107191535774,0.7501946097023741,1.1693928920663867,0.26475382884034954,0.28612607119919126,-0.10865362385966139,-0.06292137561731334,0.42317535542697043,-0.214654645895831,-0.1452602022743565,-0.08035232760619887,0.04046755399053866,0.1982207256086676
Oner,T1,jng,14.04,14,4,9,0,jng,-1.7649298308471582,1.671723091284919,-0.9570575758750183,0.6279721172959117,-1.7887233419086253,-1.4511768872152775,-0.32619745479482204,-1.2220424574260753,0.7823226008312596,0.1645672364309325,0.34342656096877244,0.3917792864333197,-0.5192860486608027,-0.8301039212006027,-0.520758680244738,-0.6101303690885366,1.1194153493920427,-0.37115517854681684,0.4238380673833872,-0.19376039327725783,0.26798226718869567,0.03652532223157057,-0.05201234977378229
Peanut,Hanwha Life Esports,jng,14.04,14,4,10,0,jng,-2.4255628898259554,0.29721175455929044,0.9781549014408607,0.5194091030666879,-0.7084973366169054,0.5601081440093667,-1.2266107917810025,-1.3184373493363506,-0.846876754400793,1.476184192801481,-0.505973679940886,-0.28829181912668317,0.6384030176998375,0.27198904798767526,-0.8112312644515202,-0.311446084883054,0.4147978927697374,-0.07404887965401445,-0.00588513866660213,-0.03165936191503701,0.26538486974227726,-0.1489990543004315,-0.24443143270424902
Pyosik,KT Rolster,jng,14.04,14,4,10,0,jng,0.7654590713342753,1.2733197342498206,1.7735002880712392,-0.49298191976355793,0.3551348252539919,-0.16743993510767788,-0.2893977574031347,0.4214202637243932,0.6069118893309666,0.9198558862890531,-0.7253585990912124,-0.30637647953676556,0.4437340469718051,-0.20344423810563608,-0.35510986451234516,-0.264145351035893,0.7881423524770177,0.20837839631862584,-0.6000374951131501,-0.0032250493384508305,0.015964641065502893,-0.193051289592504,0.06603952753796478
Sponge,DRX,jng,14.04,14,4,10,0,jng,-1.5184778168757598,1.4706174743211644,1.0052992995012853,-0.0417610131908605,-0.1191669150551467,-0.1793651098970039,1.1419252445533508,-0.3180526192346123,0.5808515342803998,-0.676419263414325,-0.6071403133734153,-0.2945428774154819,-0.8678587017836515,0.5571687035556464,-0.8406330173353664,0.2867807737592089,-0.19578113101244757,0.34725604514380426,-0.24577607812840038,0.05758928709069079,-0.26748990637324527,-0.03692981449985028,0.09048763915198309
Sylvie,Nongshim RedForce,jng,14.04,14,4,10,0,jng,-5.185802347862434,-0.09093181382621503,2.256888528381769,-0.02747016982419773,2.1965858181046944,-0.10356978951107841,0.09253449785111868,0.96526539477856,0.09978951751517115,1.0253550501777429,-0.43408211817426057,-0.3671482740759289,0.22655903452309833,-0.9522956538959056,0.4625726862452589,0.440689770653059,-0.4904585559461444,0.8080984462974427,0.3418124662220887,-0.34846862501247877,-0.12572352211041,-0.06340091862929978,0.11461202638648543
Willer,BNK FEARX,jng,14.04,14,4,10,0,jng,-1.1355384812039033,4.473317606256561,-1.9307499015106606,0.3145313525442198,0.40484599415783185,-0.11343967499537733,1.0492048431480019,-0.7314463539719711,-1.0152708441422957,-0.7524278506927241,0.09129214509720582,-0.05098292414655138,-0.08965507212140036,0.17249566253726378,0.8345925705010145,-0.8109759755500333,0.5746740205095726,0.05777958322991897,-0.3875218496279825,-0.19149183674437667,-0.6655557793667215,0.4031456737782406,-0.05952260134172283
Canyon,Gen.G,jng,14.05,14,5,4,0,jng,-1.6910392406758454,1.7705526264202986,3.565893938146096,-0.05189738308416441,0.3933124486165153,0.20743144682542677,-2.610755868487214,-0.10420480566105272,-0.014170167117268519,-0.9412427177155479,-0.3974138621344631,1.8648441819573205,-0.7486056147474721,-0.4720262714756887,-0.934085848628186,0.314715022952331,0.5564425981152165,0.08020972354503546,0.7985635306003714,0.017895778546609613,0.015017048117712345,-0.2446426900314183,-0.004620955457794407
Cuzz,DN SOOPers,jng,14.05,14,5,4,0,jng,-1.0658478374306697,1.6633724714300275,-0.06860001566949306,-0.7053256377963892,-2.2067856414811016,-0.4893295109614235,0.5187257041781878,0.6972561457001114,-0.9712488744014357,-1.178512983182922,-1.031425817446183,1.4581877547019364,0.4863900833560207,1.09396982822167,0.011889118174111953,-0.8678964039061823,-0.14715250645798753,-0.3653210443363504,-0.054490034915382915,-0.2630919198983039,-0.3863930476887961,-0.064559599904823,-0.28563482658843453
Lucid,Dplus Kia,jng,14.05,14,5,4,0,jng,-4.38581187708863,1.5168063239798308,1.3556442790486554,-0.05536875768010565,-2.111039216117429,2.127596297081244,0.8996434201829887,0.6639763004391082,-0.981463475960705,-0.7232572345820455,-0.4191819954634266,0.4143649679756196,0.7676601081871568,-0.26129760017248066,0.15492340479471087,-0.13292162449191863,-0.2046732351305459,0.18193299872039018,0.3889225299124545,0.3020118747803893,-0.30664890955075186,0.04947225836008644,-0.06491241652464312
Oner,T1,jng,14.05,14,5,4,0,jng,-0.31230064168534877,2.068881535483877,2.6063073134845425,0.2199512180927162,0.096179180694353,-1.7449559804793762,-0.21600276407028512,0.4567263591856311,0.8183857321775782,-0.9450365750214003,0.2515312931802339,-0.7337064888813177,0.6423983835411877,-0.7542353848042652,-0.7029681078016812,-0.058841542244893935,0.6988947395169102,-0.29604562116965366,-0.5188382520282885,-0.3054379723789172,0.531749941216302,-0.1703193225448188,0.4301968556368207
