pca_group,feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
jng,vspm,0.09894557981529763,0.44350740236355085,-0.3063360611096535,0.04487800961471554,0.00625927189244625,-0.0443991238977585,0.0677674171731345,0.0750567801307646,-0.08243220527498937,0.020915411322542373,-0.01655942537942796,0.06105921450142361,-0.0965716202923776,-0.07369601778684222,-0.11108934301574429,0.003428500065819631,-0.0935392956163801,0.05935499789464298,-0.04413567989951286,0.02371373617606176,0.6470188375625446,-0.3528767096856625,-0.29855607203183404
jng,wpm,-0.11850577475584993,0.37949714535200363,-0.06515717009318518,-0.012517752908048255,0.044570431772095555,0.35588127895113053,-0.077415887785426,0.164067327051963,0.25944547362072096,0.011769542854657417,0.08192907731201411,0.06034924807340595,-0.3653757224941828,0.06667515772167683,-0.45015902060743407,0.10136116567735452,0.3056276599691272,-0.23940350978694733,0.18642062172609508,-0.018817595718208027,-0.1482230039260234,0.19330573284935285,0.04640584798511397
jng,wcpm,0.023420410212051462,0.3298779574936134,-0.2628529163220926,-0.014240040769193905,-0.03692163868961307,-0.3908605491735173,0.2064756801835387,-0.22229027997468417,-0.21011423534168627,0.04863818371090213,0.08592673784601691,0.12324276992463994,0.2669460658463889,0.3272575252789687,0.16524108599601783,-0.048685414576005615,0.1812130401924148,-0.3367457835215205,0.3041998042517724,-0.11012567668363965,-0.10176009671818481,0.1853245457508557,0.04937031065671791
jng,controlwards_per_min,-0.16730836358965845,0.26243641321603906,0.07037572258648865,0.10438090437388442,-0.0452478581007672,0.4048460707738126,0.052516102806836176,0.30321133105132936,0.27507146008018923,-0.12736811320695315,-0.13960193070790747,0.15861350180342595,0.1720184492632762,0.0990773013290432,0.6204675405168807,-0.11425927936353375,-0.19230971849631542,-0.110136406058259,0.05512622034903873,-0.00829909282912203,0.017204489097858454,0.012312823338402685,0.00018788170430105428
jng,earned gpm,0.38024356384916264,0.04413784717157019,-0.03361433727498334,0.09615624306299304,-0.007873610453814206,0.0976242606170855,-0.1358995269163432,0.08712583510221096,-0.14160932116264197,-0.014475926641065765,-0.11096047387822854,-0.14896730615570447,-0.019347950107889353,-0.1568760204166187,0.031700279831529135,-0.057572758111419584,0.01696740035406659,-0.16428538231374382,0.07807166041853023,-0.21310082427110053,0.20071867849202962,-0.1158571187698962,0.7686825560057453
jng,earnedgoldshare,0.3204869179721956,-0.12482317998038683,-0.21618858358675172,-0.01690139889128655,0.004501605803954974,0.0729510206721811,0.19730726669706267,0.1610454040095012,-0.03100577533398823,0.04371732522238687,-0.20513266039890526,-0.3060559948924732,-0.1251529501389673,0.15798135785890785,0.07461234528660704,-0.08931248583194677,0.03791740749867326,0.007041674435151149,0.1661281657190004,0.7060348149296676,0.025284109727614974,0.20739350331944856,-0.021599152479502788
jng,cspm,0.343241961188168,0.023027015292366795,-0.12332835271574534,-0.14067054395934683,-0.07396512445912831,0.0046978766291164015,-0.04814809449009643,0.14785908972279904,-0.08633953291714457,0.0034013306731458144,0.16127422781910386,-0.3354998829538954,-0.30456125586753374,-0.04683457559491297,0.12260372663084199,-0.07517120761071924,-0.3860356795992444,-0.2297394477060899,0.05515472421790024,-0.359986709340853,-0.3252988276151406,-0.03520973206936443,-0.33737046400939796
jng,tower_damage_per_min,0.23421727039838974,0.07084847432256472,0.13850429393503072,0.14262078529521138,-0.02552148584287369,0.13716207802175603,-0.3126783752228729,-0.24353268167497544,-0.3350969756875247,0.0793224927927273,-0.32343871672340113,0.36994956988226074,-0.34277431790416085,0.38559548959255574,0.13406774953466857,0.21188042498809,-0.03380577974782049,0.07611938006406557,-0.1195421135966106,0.02414032532569925,-0.08800025712443658,-0.0025087742720360136,-0.07344793638496118
jng,firstbloodkill,0.09596089459886666,-0.017551756655401117,0.1033923639494164,0.20525224002537426,-0.06060222940683112,0.4705530502602803,0.421169887476909,-0.28915756995823855,-0.23221379825492733,0.31792132248446514,0.4793931093647198,0.026106973002443204,-0.05297060477259559,-0.1406690491729256,0.1280309620031949,-0.027986735164138476,0.09858922546919797,0.1142747679873627,0.05065732602994574,-0.005694896043096103,0.027705371435131798,0.005657443843273206,-0.011569763792407105
jng,firstbloodassist,0.0014008451259660132,0.042066804499170024,0.16862308066586085,-0.08416738465376063,0.49082347710688773,-0.1894935588902947,-0.05312207822253826,0.4691639467293053,-0.08768047588919044,0.6469712680097721,0.05047388615391937,0.06319680098064104,0.007657754995511353,0.014502417363896927,0.12162381288503214,0.06213503830406308,0.08421116653300434,0.052943457145561895,-0.003747947527827783,-0.034156495009193565,-0.008983938427390835,0.00812736481869344,0.0036124497691794287
