playername,teamname,position,patch,patch_major,patch_minor,match_count,low_sample_flag,pca_group,PC1,PC2,PC3,PC4,PC5,PC6
BuLLDoG,DN SOOPers,mid,14.04,14,4,10,0,mid,-0.6343074275905765,1.019700662067311,-0.6290591700099561,-0.15901723021062258,-0.23578240425302166,0.28347167187327327
Callme,Nongshim RedForce,mid,14.04,14,4,6,0,mid,0.47899782168398936,0.9386727331261927,0.7323239070087025,-0.7106588713094159,0.10460405132624855,0.05792176567824815
Chovy,Gen.G,mid,14.04,14,4,9,0,mid,3.177121021464156,0.005864929658325383,0.42143622069273357,0.39429792744191466,0.04263428350769202,0.3474515528070869
Clozer,BNK FEARX,mid,14.04,14,4,10,0,mid,1.2859594893392667,0.7696912469584208,-1.1424950505677072,-0.3077689364488923,0.24477780441273445,-0.002860131364533978
FIESTA,Nongshim RedForce,mid,14.04,14,4,4,0,mid,-0.17734623704695496,0.052373782298665746,1.7685432425239949,-0.4292508993590041,-0.09849661336194564,0.19192622526572467
Faker,T1,mid,14.04,14,4,9,0,mid,1.2760837029112269,-0.07185199181144929,0.048726250816255576,0.022666525834808143,-0.099132936070437,0.3313539810986408
Karis,HANJIN BRION,mid,14.04,14,4,10,0,mid,-0.7675430875762536,1.1806086105520082,-0.2051272627499771,0.08905769910232397,-0.04808478497813836,0.4533336442835117
ShowMaker,Dplus Kia,mid,14.04,14,4,10,0,mid,-1.0075621152167218,0.930700268464253,-0.1679468699219533,-0.6656872322721251,-0.4623886037876441,0.28884416300723276
Zeka,Hanwha Life Esports,mid,14.04,14,4,10,0,mid,0.12039393458741264,0.1240940758136058,1.1205252467565012,-0.2179879564224593,0.2737279716910579,-0.15232421964559786
kyeahoo,DRX,mid,14.04,14,4,10,0,mid,-0.12588135880075926,1.1297687322166179,-0.2702492323060752,-0.33172580488671505,0.4822823847965125,0.17340314129590492
Bdd,KT Rolster,mid,14.05,14,5,5,0,mid,-0.1746463774418575,-0.3178051077105664,1.7285230473752975,0.4149430928279302,0.01574071135998559,0.431658202029807
BuLLDoG,DN SOOPers,mid,14.05,14,5,4,0,mid,0.6995255768396078,0.04853048493015277,-0.4477166186427639,-0.29251949867041754,-0.2903160894377982,0.09880323630708766
Callme,Nongshim RedForce,mid,14.05,14,5,3,0,mid,-1.3834821497770433,-1.3158194428007088,0.04511889001796544,-0.5875566958667088,-0.8868550356930952,0.8428362594212815
Chovy,Gen.G,mid,14.05,14,5,4,0,mid,4.278840532424804,-0.08591112929812014,-0.8373536058366184,-1.8528161310758355,0.33221011765459585,0.4074989022798471
Clozer,BNK FEARX,mid,14.05,14,5,5,0,mid,1.5935745064393205,0.6426875562865451,-0.9442457949219698,0.07114206947245762,0.10757268476138002,-0.11791779991932372
Faker,T1,mid,14.05,14,5,4,0,mid,0.9325573522852897,-1.7728148258263488,1.0510507586810836,-0.8809936274576942,-0.3571426286354568,0.621294886998516
Karis,HANJIN BRION,mid,14.05,14,5,3,0,mid,-0.909524680304248,0.8896700652105011,-0.3587499580905379,0.9483852183117519,0.365955617125525,0.3849287278410973
ShowMaker,Dplus Kia,mid,14.05,14,5,4,0,mid,-0.6591584431636038,0.9285030045940471,-0.21000773078547494,-0.025146021194481477,0.6736322841640141,-0.5072503813328242
Zeka,Hanwha Life Esports,mid,14.05,14,5,5,0,mid,1.2754167794731774,0.6457310800297318,-0.9894268123413021,-0.037047586894973145,-0.30063995934550763,-0.1796268704441621
kyeahoo,DRX,mid,14.05,14,5,4,0,mid,-2.6684231171973054,1.805443971499405,0.7670052713319943,0.008718500886948343,0.4605157127881289,0.6076223299275314
