playername,position,patch,patch_major,patch_minor,assists,controlwards_per_min,csat15,csdiffat15,cspm,damagemitigatedperminute,damageshare,damagetakenperminute,deaths_per_min,dpm,earned gpm,earnedgoldshare,firstbloodassist,firstbloodkill,firstbloodvictim,goldat15,golddiffat15,kill_participation,kills,tower_damage_per_min,visionscore,vspm,wcpm,wpm,xpat15,xpdiffat15,teamname,match_count,low_sample_flag
Karis,mid,14.02,14,2,2.75,0.1638494021445099,137.5,-7.25,8.727625,394.3941,0.25214175,532.91705,0.10184638537307703,461.914625,225.488225,0.23641725,0.25,0.25,0.0,5167.25,-339.5,0.6726190476190477,1.25,53.19677410493127,28.5,0.951075,0.1926,0.359125,7678.0,27.25,HANJIN BRION,4,0
SeTab,mid,14.02,14,2,1.75,0.15527712099828747,134.5,-10.0,8.878425,537.9901,0.272775,698.9034750000001,0.1399340371814198,523.315175,261.04935,0.28317675,0.5,0.25,0.25,5509.25,-295.25,0.9375,1.5,130.72297019477054,32.25,0.9991,0.21969999999999998,0.40725,7551.75,-354.25,DRX,4,0
ShowMaker,mid,14.02,14,2,6.5,0.16222644571482486,139.25,2.75,8.578175,493.23327500000005,0.33038825,546.101775,0.05328318863386812,836.782875,275.39637500000003,0.23420675000000002,0.0,0.25,0.25,5805.75,397.5,0.7674632352941176,3.0,197.8629231982851,31.25,1.0389,0.275525,0.37375,7687.5,156.75,Dplus Kia,4,0
Zeka,mid,14.02,14,2,3.25,0.20749051137484137,141.75,-3.0,8.986075,302.9726,0.22390025,480.81185,0.07898944736165246,486.442875,287.58027500000003,0.259803,0.0,0.0,0.5,5392.75,102.25,0.8729967948717949,4.5,157.8999461636734,35.75,1.203425,0.18555,0.469975,7480.75,-259.75,Hanwha Life Esports,4,0
Canyon,jng,14.03,14,3,8.75,0.4029923384811551,102.375,-0.75,6.1100375,978.1266875,0.12470695,995.2421125,0.04917743325580094,308.7043625,254.5299,0.180988625,0.25,0.125,0.125,5119.75,200.125,0.6798625351256931,2.875,112.61086507145589,61.75,1.9904375,0.448625,0.6126875,5582.0,86.75,Gen.G,8,0
Cuzz,jng,14.03,14,3,7.090909090909091,0.31732346759129365,105.72727272727273,0.45454545454545453,6.1712727272727275,1442.265718181818,0.11829284545454545,924.6570272727273,0.09149727702804872,278.9725818181818,200.80950909090907,0.17764018181818184,0.2727272727272727,0.18181818181818182,0.0,4993.818181818182,141.0,0.7689678742310321,1.8181818181818181,71.45901625726961,60.81818181818182,1.8185363636363634,0.48395454545454547,0.4285,5638.0,-12.909090909090908,DN SOOPers,11,0
GIDEON,jng,14.03,14,3,7.3,0.33181373889951515,107.8,7.3,5.75875,1082.54587,0.11962376,984.1842200000001,0.08202768883082315,262.40176,176.66226,0.1626458,0.0,0.0,0.1,4939.2,-39.6,0.7311928993301542,0.8,18.677909475028386,53.8,1.66429,0.43301999999999996,0.37355,5853.8,331.9,HANJIN BRION,10,0
Guwon,jng,14.03,14,3,11.0,0.3596985455061794,98.5,-11.5,5.52485,962.4022,0.13188525,1117.09995,0.06462035541195477,381.76415,246.969,0.16709000000000002,0.0,1.0,0.0,5635.5,165.5,0.6897233201581028,4.5,164.8277996125994,42.5,1.39115,0.29464999999999997,0.34309999999999996,6108.5,100.5,T1,2,1
Lucid,jng,14.03,14,3,9.8,0.45589437099075736,98.5,-5.2,5.40347,1295.83112,0.09516113000000001,899.63678,0.047966933787355975,235.02609,190.58127,0.14758670000000002,0.5,0.1,0.0,4781.1,41.5,0.6803238609216871,1.2,37.054708427662646,64.4,1.7476099999999999,0.41325,0.51728,5277.1,-324.3,Dplus Kia,10,0
Oner,jng,14.03,14,3,7.571428571428571,0.32665882295236415,104.71428571428571,5.0,6.357971428571429,1279.5476,0.1342472142857143,1113.9574857142857,0.0882745700862085,366.134,247.46608571428573,0.18001942857142855,0.14285714285714285,0.14285714285714285,0.2857142857142857,5116.428571428572,-31.428571428571427,0.6857729259045049,3.2857142857142856,79.63200358097855,65.14285714285714,2.0755714285714286,0.5365142857142857,0.5405285714285715,5702.714285714285,173.71428571428572,T1,7,0
Peanut,jng,14.03,14,3,9.0,0.34004778426513715,104.0,-0.7777777777777778,5.881888888888889,1289.2607555555555,0.10851808888888889,810.2574888888889,0.05131879983676909,255.4481888888889,211.67167777777777,0.162123,0.1111111111111111,0.0,0.1111111111111111,4904.777777777777,-29.555555555555557,0.6724346641013308,2.111111111111111,67.43699090729372,62.44444444444444,1.7958444444444446,0.4931555555555556,0.3922,5612.888888888889,-4.333333333333333,Hanwha Life Esports,9,0
Pyosik,jng,14.03,14,3,4.333333333333333,0.39814394111070334,99.0,-5.555555555555555,5.1388,997.1723333333333,0.11716403333333332,970.7211555555556,0.08673198436412144,234.60788888888888,160.73726666666667,0.15523233333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,4676.777777777777,-301.8888888888889,0.6376984126984127,0.7777777777777778,49.170758176979476,64.0,1.5861,0.37403333333333333,0.4415222222222222,5436.888888888889,-178.22222222222223,KT Rolster,9,0
Sponge,jng,14.03,14,3,5.3,0.37288950311101465,104.8,7.0,5.52239,1226.0533799999998,0.11783328,1030.30066,0.12274706686285346,247.16384,174.90634,0.1625218,0.1,0.1,0.1,4700.5,-208.1,0.59375,1.3,69.68179108448776,54.5,1.6179200000000002,0.4175,0.46275000000000005,5478.1,21.1,DRX,10,0
Sylvie,jng,14.03,14,3,7.0,0.43373873418280157,97.36363636363636,-10.0,5.357454545454545,1286.9545545454546,0.13706442727272727,926.7452454545455,0.11376430724105178,287.5557090909091,173.28792727272727,0.15869745454545456,0.36363636363636365,0.18181818181818182,0.09090909090909091,4784.636363636364,-189.27272727272728,0.7425088577834574,1.3636363636363635,28.503176104069226,61.27272727272727,1.8136272727272726,0.4643181818181818,0.44437272727272725,5397.090909090909,-259.0,Nongshim RedForce,11,0
Willer,jng,14.03,14,3,5.111111111111111,0.4868109313236977,109.88888888888889,7.222222222222222,5.9350555555555555,977.3232666666668,0.13821596666666666,865.8237,0.08712275887460626,273.7806444444444,190.8136,0.17826244444444445,0.0,0.3333333333333333,0.0,5356.444444444444,429.3333333333333,0.6325156325156325,1.7777777777777777,16.615019127736662,58.888888888888886,1.8332,0.4851888888888889,0.5410888888888888,5833.333333333333,248.44444444444446,BNK FEARX,9,0
Bdd,mid,14.03,14,3,4.111111111111111,0.21595554661063093,147.33333333333334,1.8888888888888888,8.916966666666667,339.22118888888895,0.264567,430.00876666666665,0.0736550153228535,550.0469666666667,259.0212666666667,0.2454242222222222,0.1111111111111111,0.0,0.1111111111111111,5398.777777777777,-23.666666666666668,0.7694444444444444,2.3333333333333335,88.47290488836819,46.55555555555556,1.1586555555555558,0.2051777777777778,0.45148888888888883,7773.555555555556,190.55555555555554,KT Rolster,9,0
BuLLDoG,mid,14.03,14,3,5.636363636363637,0.2870005302505001,146.0909090909091,-5.2727272727272725,8.935572727272728,370.5046909090909,0.29574209090909087,472.76815454545454,0.06847463188201611,683.2659727272727,269.4585090909091,0.23699572727272725,0.09090909090909091,0.09090909090909091,0.09090909090909091,5531.090909090909,-101.9090909090909,0.7723513328776487,3.3636363636363638,87.60186308928876,47.18181818181818,1.4073,0.2732636363636364,0.5343636363636364,7702.636363636364,-161.63636363636363,DN SOOPers,11,0
Callme,mid,14.03,14,3,5.666666666666667,0.2259758092791053,143.0,-1.5555555555555556,9.2343,458.38807777777777,0.27718311111111116,578.7790111111111,0.10565206124660925,592.1955333333333,260.6457,0.2453302222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,5517.333333333333,-141.88888888888889,0.7113143163867801,2.111111111111111,79.22796257932876,44.22222222222222,1.2721111111111112,0.3731333333333333,0.33516666666666667,7773.111111111111,191.55555555555554,Nongshim RedForce,9,0
Chovy,mid,14.03,14,3,7.375,0.22129036747090824,150.0,10.0,10.1890125,338.2974875,0.320954,522.31275,0.03907868965677704,799.7924375,360.538625,0.255790375,0.125,0.25,0.0,5844.125,492.0,0.7516696570972887,5.375,243.49930830968736,54.25,1.76645,0.575175,0.494375,7754.625,253.75,Gen.G,8,0
Clozer,mid,14.03,14,3,4.222222222222222,0.24134311369592204,146.0,-6.222222222222222,9.724533333333333,362.75682222222224,0.2622781111111111,521.7220666666667,0.09176752877430006,504.41622222222225,258.9031444444444,0.24115266666666665,0.0,0.0,0.1111111111111111,5305.666666666667,-369.0,0.533970658970659,1.6666666666666667,94.25308068885921,38.666666666666664,1.2034222222222222,0.27180000000000004,0.5154444444444445,7775.444444444444,-121.11111111111111,BNK FEARX,9,0
FIESTA,mid,14.03,14,3,5.0,0.37496377861489427,155.5,8.5,8.6845,284.9407,0.2838545,430.2938,0.06633528743062211,530.9033,276.29425,0.22982750000000002,0.0,0.0,0.0,5504.0,-360.0,0.39473684210526316,2.5,111.88328912466844,43.5,1.4149500000000002,0.36085,0.6499999999999999,8090.5,188.0,Nongshim RedForce,2,1
Faker,mid,14.03,14,3,7.888888888888889,0.13787269813154474,143.33333333333334,0.7777777777777778,9.396355555555555,339.06135555555556,0.27721277777777775,406.4330777777778,0.046206486837941034,746.277511111111,321.9282222222222,0.23355588888888887,0.3333333333333333,0.1111111111111111,0.0,5905.333333333333,372.3333333333333,0.6981940090731089,4.333333333333333,146.5168219229405,44.111111111111114,1.4068444444444443,0.2549,0.45531111111111117,7771.777777777777,-16.666666666666668,T1,9,0
Karis,mid,14.03,14,3,5.5,0.24469518630361936,152.0,3.2,9.37434,408.23967000000005,0.2640158,538.98197,0.07391204259772625,582.18956,285.24649,0.2645905,0.1,0.0,0.3,5620.3,-20.6,0.7284669216041766,3.4,150.1479273591308,37.8,1.1568200000000002,0.30717,0.35341,7910.6,65.8,HANJIN BRION,10,0
