playername,position,puuid,match_id
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7209717404
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7209641226
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7207912672
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7202873813
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7202801206
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7201956005
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7201892225
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7201844659
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7198871257
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7197063730
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7195352280
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7195320574
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7192851139
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7191220597
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7191188512
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7191164056
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7190473415
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7182111375
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7179544270
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7175011048
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7171247237
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7171120470
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7170982386
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7168486363
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7166356216
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7158357288
